                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.30811,                0.19232,                0.78593,                0.94364,                0.91031,                0.96253,                0.88843,                0.34252,                0.27917,                0.80444,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.30822,                0.19333,                0.78642,                0.94132,                0.92334,                0.96319,                0.88755,                0.34278,                0.26985,                0.80335,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                0.30757,                 0.1904,                0.78676,                0.92919,                0.93039,                0.96082,                0.88627,                0.33796,                0.28525,                0.80159,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                0.30278,                0.18764,                0.78493,                0.94326,                0.91241,                 0.9588,                0.88767,                0.34228,                0.27686,                0.80625,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                0.30307,                0.18799,                 0.7854,                0.94437,                0.90904,                0.96329,                0.88764,                0.34904,                0.27429,                0.81085,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                0.30562,                 0.1882,                0.78666,                0.94092,                0.91683,                0.96251,                0.88845,                0.34464,                 0.2774,                0.80927,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.30013,                0.18522,                0.78351,                0.93192,                0.92369,                0.96262,                0.88755,                0.34277,                0.27654,                0.80824,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                 0.2998,                0.18366,                0.78312,                0.94217,                0.91598,                0.96158,                0.88873,                0.33995,                0.28406,                0.80554,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                0.30036,                0.18145,                0.78511,                0.96097,                0.90495,                0.96394,                0.88915,                0.34139,                0.27388,                0.80526,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                0.30118,                0.18359,                0.78176,                0.94591,                0.91306,                0.96332,                0.89085,                0.33633,                0.27967,                0.80239,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                0.29993,                0.18132,                 0.7845,                0.94855,                0.91299,                0.96167,                0.88853,                0.33733,                0.27579,                0.80436,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                0.28403,                0.17465,                0.77302,                0.93744,                  0.917,                0.96402,                 0.8879,                0.33899,                0.27843,                0.80727,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                 0.2798,                0.17131,                0.77407,                 0.9497,                0.90361,                0.96139,                0.88738,                0.34052,                0.28216,                 0.8076,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                0.27791,                 0.1697,                0.77425,                0.94572,                0.91031,                0.96084,                0.88922,                0.34175,                0.27424,                0.80826,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                 0.2765,                0.16522,                0.77233,                0.94596,                0.91566,                0.96202,                0.88741,                 0.3426,                0.27628,                0.80894,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                0.27671,                0.16522,                0.77171,                0.93234,                0.92235,                0.96287,                0.88804,                0.34137,                 0.2712,                0.80949,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                0.27858,                0.16513,                0.77164,                0.94554,                0.90648,                0.96057,                0.88889,                0.34404,                0.27686,                0.80998,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                0.27493,                0.16402,                0.77002,                0.94194,                0.91224,                0.96084,                 0.8883,                0.34196,                0.27601,                 0.8101,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.27594,                0.16463,                0.77064,                0.94627,                0.91299,                0.96194,                0.88873,                0.34055,                0.27308,                0.80934,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                0.27391,                0.16194,                0.77052,                0.95093,                0.90798,                0.96219,                0.88881,                0.34089,                0.27489,                0.80849,             3.5462e-06,             3.5462e-06,             3.5462e-06
                    100,                0.27233,                0.16038,                0.77028,                0.94634,                0.91432,                0.96127,                0.88878,                0.34087,                0.27473,                0.80925,             2.3681e-06,             2.3681e-06,             2.3681e-06
