Ultralytics YOLOv8.2.5 🚀 Python-3.10.12 torch-2.3.0+cu121 CUDA:0 (NVIDIA GeForce RTX 4090, 24217MiB)
video 1/1 (frame 131/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 9 persons, 30.4ms
video 1/1 (frame 132/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.5ms
video 1/1 (frame 133/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.4ms
video 1/1 (frame 134/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 9 persons, 30.4ms
video 1/1 (frame 135/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.4ms
video 1/1 (frame 136/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.4ms
video 1/1 (frame 137/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 9 persons, 30.4ms
video 1/1 (frame 138/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.4ms
video 1/1 (frame 139/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 140/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.4ms
video 1/1 (frame 141/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.4ms
video 1/1 (frame 142/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 143/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 9 persons, 30.4ms
video 1/1 (frame 144/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.4ms
video 1/1 (frame 145/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.5ms
video 1/1 (frame 146/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 147/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 148/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.6ms
video 1/1 (frame 149/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 150/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 151/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.6ms
video 1/1 (frame 152/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.6ms
video 1/1 (frame 153/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 154/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 155/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.7ms
video 1/1 (frame 156/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.4ms
video 1/1 (frame 157/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 158/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 159/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 160/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.3ms
video 1/1 (frame 161/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.4ms
video 1/1 (frame 162/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 163/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 164/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 165/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.6ms
video 1/1 (frame 166/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.4ms
video 1/1 (frame 167/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 14 persons, 30.4ms
video 1/1 (frame 168/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.4ms
video 1/1 (frame 169/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.4ms
video 1/1 (frame 170/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.4ms
video 1/1 (frame 171/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.5ms
video 1/1 (frame 172/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.6ms
video 1/1 (frame 173/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.4ms
video 1/1 (frame 174/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.6ms
video 1/1 (frame 175/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.6ms
video 1/1 (frame 176/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 177/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.4ms
video 1/1 (frame 178/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.5ms
video 1/1 (frame 179/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 180/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.4ms
video 1/1 (frame 181/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.5ms
video 1/1 (frame 182/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 183/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.5ms
video 1/1 (frame 184/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 185/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.6ms
video 1/1 (frame 186/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.5ms
video 1/1 (frame 187/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.5ms
video 1/1 (frame 188/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 189/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.4ms
video 1/1 (frame 190/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 13 persons, 30.3ms
video 1/1 (frame 191/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 192/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.5ms
video 1/1 (frame 193/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 194/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 195/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 196/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.6ms
video 1/1 (frame 197/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.4ms
video 1/1 (frame 198/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.4ms
video 1/1 (frame 199/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.4ms
video 1/1 (frame 200/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 201/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 202/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 10 persons, 30.5ms
video 1/1 (frame 203/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 204/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.4ms
video 1/1 (frame 205/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 206/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 207/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 208/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.4ms
video 1/1 (frame 209/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.4ms
video 1/1 (frame 210/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.6ms
video 1/1 (frame 211/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.6ms
video 1/1 (frame 212/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.4ms
video 1/1 (frame 213/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 214/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 215/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 11 persons, 30.6ms
video 1/1 (frame 216/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 12 persons, 30.5ms
video 1/1 (frame 217/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 14 persons, 30.4ms
video 1/1 (frame 218/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 14 persons, 30.4ms
